Model,Accuracy,Precision,Recall,F1-score,ROC-AUC,True Negative,False Positive,False Negative,True Positive
Tuned KNN,0.7467532467532467,0.6470588235294118,0.6111111111111112,0.6285714285714286,0.7812037037037037,82,18,21,33
Tuned SVM,0.6623376623376623,0.5121951219512195,0.7777777777777778,0.6176470588235294,0.7859259259259259,60,40,12,42
Tuned Random Forest,0.7467532467532467,0.6119402985074627,0.7592592592592593,0.6776859504132231,0.8212962962962963,74,26,13,41
